-123.8782043 28.58316231 -15.40772438  123.8782043 -28.58316231
-123.5588531 27.00977135 -15.14473629  123.5588531 -27.00977135
-123.5604553 27.00900841 -15.13699436  123.5604553 -27.00900841
-123.4841614 26.90664101 -14.98002243  123.4841614 -26.90664101
-123.1138077 25.76631165 -14.93104935  123.1138077 -25.76631165
-122.5372543 24.40083122 -14.92945957  122.5372543 -24.40083122
-121.8179626 22.72373962 -15.48509407  121.8179626 -22.72373962
-121.5884705 21.83730507 -15.64835453  121.5884705 -21.83730507
-121.356926 18.68552208 -15.02117348  121.356926 -18.68552208
-121.1625977 17.86293983 -14.99497414  121.1625977 -17.86293983
-120.9738312 16.71584129 -15.05017185  120.9738312 -16.71584129
-120.5433044 13.17921925 -14.77080441  120.5433044 -13.17921925
-120.187851 9.985958099 -14.79825687  120.187851 -9.985958099
-120.057373 8.736115456 -14.74900341  120.057373 -8.736115456
-120.0491714 8.691615105 -14.7472105  120.0491714 -8.691615105
-119.637291 5.351563931 -14.84374619  119.637291 -5.351563931
-119.4667664 3.534284115 -14.81942177  119.4667664 -3.534284115
-119.4236832 3.015922785 -14.74294281  119.4236832 -3.015922785
-119.2234039 0.684163034 -14.7127285  119.2234039 -0.684163034
-118.9260406 -1.459830284 -14.76198387  118.9260406 1.459830284
-118.9193878 -1.506866336 -14.76741695  118.9193878 1.506866336
-118.8508148 -2.129368544 -14.87490082  118.8508148 2.129368544
-118.4885101 -6.749083996 -14.5893755  118.4885101 6.749083996
-118.5538406 -8.821727753 -14.82756424  118.5538406 8.821727753
-118.6312256 -11.65301418 -14.49989128  118.6312256 11.65301418
-118.9821167 -15.86451912 -14.04152298  118.9821167 15.86451912
-119.0602646 -17.69715881 -14.07490635  119.0602646 17.69715881
-119.1613617 -21.36520767 -13.8023262  119.1613617 21.36520767
-119.4417801 -26.29206085 -13.64629078  119.4417801 26.29206085
-119.5769119 -28.29424667 -13.96597862  119.5769119 28.29424667
-119.9178314 -31.07370949 -14.22537422  119.9178314 31.07370949
-120.0007401 -31.75258827 -14.30017757  120.0007401 31.75258827
-120.3103409 -33.14996719 -14.26763058  120.3103409 33.14996719
-120.3038483 -33.42309189 -14.24402428  120.3038483 33.42309189
-120.2840805 -34.05487823 -14.25344753  120.2840805 34.05487823
-120.561676 -37.80734253 -14.40705204  120.561676 37.80734253
-120.717926 -38.53427887 -14.39561367  120.717926 38.53427887
-121.3825378 -43.67331314 -13.78783321  121.3825378 43.67331314
-121.9286652 -45.75912094 -13.64007759  121.9286652 45.75912094
-122.2470627 -48.52171326 -13.56227589  122.2470627 48.52171326
-122.4235153 -50.38045883 -13.38048458  122.4235153 50.38045883
-122.4353714 -50.50667572 -13.37177658  122.4353714 50.50667572
-122.5221863 -51.56811523 -13.40060139  122.5221863 51.56811523
-122.4929123 -52.6030159 -13.2359457  122.4929123 52.6030159
-122.4035721 -53.87790298 -12.95407581  122.4035721 53.87790298
-122.1715622 -55.23949051 -12.69120693  122.1715622 55.23949051
-121.6622849 -58.086483 -12.3444519  121.6622849 58.086483
-121.650177 -58.17037201 -12.33703232  121.650177 58.17037201
-121.1693802 -59.64707947 -12.04031372  121.1693802 59.64707947
-120.8294067 -63.68737411 -11.72437286  120.8294067 63.68737411
